CodiceBambino,Gruppo,DC,SO,MC,CI,CR,VC,LN,RM,CO,RS,QI.totale,IndiceComprensioneVerbale,IndiceRagionamentoPercettivo,IndiceMemoriaLavoro,IndiceVelocitaElaborazione
138,Tipico,10,10,7,10,12,8,6,8,8,9,90,92,96,79,103
139,Tipico,7,5,7,2,8,9,6,10,8,5,73,84,76,79,80
140,Tipico,13,12,13,8,9,15,8,13,15,12,115,124,109,103,103
141,Tipico,11,13,7,12,9,15,9,10,12,9,106,120,106,88,94
142,Tipico,11,6,7,11,11,6,8,9,8,13,92,80,102,85,112
143,Tipico,8,9,3,8,10,14,6,6,6,8,82,98,83,67,94
144,Tipico,11,13,13,14,9,16,17,11,13,4,117,124,113,130,80
145,Tipico,11,6,4,11,3,9,8,8,12,5,81,94,100,76,65
146,Tipico,14,12,12,11,14,10,13,10,10,14,116,104,111,115,123
147,Tipico,12,14,14,11,13,18,14,12,12,13,127,128,111,124,118
148,Tipico,6,8,8,6,8,8,10,11,10,10,88,92,85,94,94
149,Tipico,10,11,15,10,9,13,11,11,15,5,108,118,102,118,82
150,Tipico,7,8,2,3,17,10,8,11,10,12,90,96,81,70,126
151,Tipico,9,12,10,10,10,11,10,14,10,11,106,106,106,100,103
152,Tipico,8,11,7,10,14,13,9,6,13,14,104,114,87,88,123
153,Tipico,8,11,12,7,5,10,7,10,9,6,88,100,89,97,74
154,Tipico,2,3,6,8,6,5,4,7,5,11,65,67,72,70,91
155,Tipico,11,11,11,8,11,8,7,12,12,15,105,102,102,94,118
156,Tipico,13,10,15,6,11,11,11,10,10,8,104,102,98,118,97
157,Tipico,7,7,7,12,8,8,11,6,5,11,85,80,89,94,97
158,Tipico,7,7,6,8,7,5,7,10,10,9,81,84,89,79,88
159,Tipico,15,10,10,8,9,13,11,8,11,10,104,108,102,103,97
160,Tipico,8,12,8,10,12,9,5,6,11,10,93,104,87,79,106
161,Tipico,13,9,9,11,9,9,9,8,12,10,99,100,104,94,97
162,Tipico,10,13,14,13,11,13,12,12,13,11,118,118,111,118,106
163,Tipico,6,9,12,11,7,12,13,8,6,11,96,94,89,115,94
164,Tipico,11,14,8,12,9,13,7,10,14,11,107,122,106,85,100
165,Tipico,13,11,11,11,7,7,9,9,9,6,94,94,106,100,80
166,Tipico,6,10,6,7,8,5,5,10,8,10,80,86,85,73,94
167,Tipico,5,6,9,7,7,2,6,5,8,5,68,72,72,85,77
168,Tipico,13,12,7,5,11,9,7,7,8,8,89,98,89,82,97
169,Tipico,12,8,10,10,16,11,11,6,15,14,110,108,96,103,129
170,Tipico,11,9,14,13,10,5,5,12,6,15,100,80,113,97,115
171,Tipico,5,6,7,10,5,8,9,4,13,5,77,94,76,88,71
172,Tipico,11,11,7,9,12,11,11,16,13,8,107,110,113,94,100
173,Tipico,9,11,17,12,12,14,10,17,11,9,118,112,117,121,103
174,Tipico,11,11,12,11,9,11,14,13,13,11,113,110,111,118,100
175,Tipico,10,9,11,11,9,10,8,9,10,10,98,98,100,97,97
176,Tipico,8,13,7,9,12,12,11,13,10,11,105,110,100,94,109
177,Tipico,10,5,8,7,9,8,13,8,8,4,84,82,89,103,80
178,Tipico,11,11,12,12,12,9,11,11,4,7,100,88,109,109,97
179,Tipico,3,6,7,8,9,7,9,3,10,9,77,86,66,88,94
180,Tipico,11,9,7,5,11,8,10,8,11,8,90,96,87,91,97
181,Tipico,6,11,9,7,8,7,8,7,9,9,85,94,78,91,91
182,Tipico,10,12,15,8,15,12,18,12,16,16,127,120,100,139,132
183,Tipico,7,7,12,12,9,6,7,10,6,4,84,78,98,97,80
184,Tipico,7,10,11,10,9,4,8,10,8,11,90,84,94,97,100
185,Tipico,12,8,6,11,10,10,13,10,12,12,103,100,106,97,106
186,Tipico,12,9,11,12,9,11,9,7,10,15,104,100,102,100,112
187,Tipico,10,7,10,8,13,9,12,10,13,12,103,98,96,106,115
188,Tipico,9,11,10,10,3,9,8,11,6,6,86,92,100,94,68
189,Tipico,7,13,9,14,1,7,9,6,9,8,86,98,94,94,68
190,Tipico,11,10,7,11,4,9,6,9,8,10,88,94,102,79,82
191,Tipico,13,16,14,15,10,13,15,18,16,9,131,129,134,127,97
192,Tipico,8,7,9,9,12,8,6,6,7,15,89,84,85,85,120
193,Tipico,11,10,14,10,7,12,14,12,4,10,103,92,106,124,91
194,Tipico,12,13,10,11,16,10,12,11,11,13,115,108,109,106,126
195,Tipico,12,6,6,9,8,9,10,11,8,6,88,86,104,88,82
196,Tipico,15,12,14,14,9,7,10,10,10,11,110,98,119,112,100
197,Tipico,12,15,13,14,10,12,12,17,15,13,127,124,128,115,109
198,Tipico,8,14,10,6,7,15,8,15,11,9,102,120,98,94,88
199,Tipico,7,7,11,2,7,7,9,11,10,10,85,88,78,100,91
200,Tipico,12,6,9,10,10,7,10,12,8,14,98,82,109,97,112
201,Tipico,12,12,13,10,12,13,10,16,8,15,117,106,117,109,120
202,Tipico,12,10,9,9,6,9,7,6,7,7,85,92,94,88,80
203,Tipico,10,10,11,8,10,8,11,7,12,11,98,100,89,106,103
204,Tipico,12,7,11,12,12,8,10,12,9,13,105,88,113,103,115
205,Tipico,12,7,12,9,3,7,10,11,8,9,90,84,104,106,77
206,Tipico,8,8,12,7,10,8,6,7,7,11,87,86,83,94,103
207,Tipico,8,10,9,9,3,7,9,14,9,7,88,92,102,94,71
208,Tipico,7,7,6,13,14,9,12,8,8,7,93,88,96,94,103
209,Tipico,9,11,11,12,12,9,12,12,12,6,105,104,106,109,94
210,Tipico,14,17,10,14,14,13,11,14,16,10,127,131,126,103,112
211,Tipico,10,10,9,10,12,13,10,10,11,15,108,108,100,97,120
212,Tipico,14,17,15,14,9,15,18,11,10,10,127,124,119,139,97
213,Tipico,7,14,8,7,10,10,10,9,12,8,96,112,85,94,94
214,Tipico,11,9,11,10,15,12,12,13,9,12,111,100,109,109,120
215,Tipico,10,8,9,7,4,9,7,11,10,10,88,94,96,88,82
216,Tipico,9,9,10,9,12,4,14,4,8,14,94,82,83,112,118
217,Tipico,9,9,10,14,12,14,14,16,11,12,117,108,119,112,112
218,Tipico,7,12,12,13,13,9,9,9,10,11,104,102,98,103,112
219,Tipico,15,14,15,15,13,13,17,14,12,14,134,118,130,136,120
220,Tipico,6,9,8,12,12,9,10,10,8,13,98,92,96,94,115
221,Tipico,14,13,11,11,9,12,11,8,12,10,109,114,106,106,97
222,Tipico,9,15,6,11,9,12,7,9,12,9,99,118,98,79,94
223,Tipico,11,10,10,11,10,11,17,16,9,11,113,100,117,121,103
224,Tipico,9,12,12,13,15,12,8,14,8,11,111,104,113,100,118
225,Tipico,6,10,11,6,12,13,9,7,10,8,94,106,76,100,100
226,Tipico,14,10,8,15,13,13,15,15,8,17,123,102,130,109,129
227,Tipico,8,9,6,5,11,9,6,11,6,9,84,88,87,76,100
228,Tipico,9,9,11,7,9,11,10,11,10,10,98,100,94,103,97
229,Tipico,8,13,13,15,6,7,12,11,8,17,108,96,109,115,109
230,Tipico,10,11,16,12,15,13,10,12,12,17,123,112,109,118,135
231,Tipico,6,12,9,10,11,10,13,5,7,7,92,98,81,106,94
232,Tipico,5,10,6,9,5,14,6,5,7,10,81,102,76,76,85
233,Tipico,11,9,16,10,11,10,12,12,8,12,109,94,106,124,109
234,Tipico,7,3,8,1,10,4,9,7,4,8,69,63,68,91,94
235,Tipico,10,8,10,4,13,6,9,9,6,7,85,80,85,97,100
236,Tipico,7,13,13,13,13,12,12,8,8,5,103,106,96,115,94
237,Tipico,11,11,5,8,9,8,10,5,9,12,90,96,87,85,103
238,Tipico,9,9,13,12,10,11,14,10,11,10,107,102,102,121,100
239,Tipico,13,7,9,14,7,8,9,9,9,4,91,88,113,94,74
240,Tipico,13,15,14,17,12,16,8,13,16,12,129,133,128,106,112
241,Tipico,6,15,11,12,7,10,10,9,6,6,94,102,94,103,80
242,Tipico,15,12,13,9,11,14,18,16,15,11,127,122,121,133,106
243,Tipico,12,6,2,6,11,4,12,8,8,11,84,76,91,82,106
244,Tipico,14,9,12,12,11,7,8,13,7,10,102,86,119,100,103
245,Tipico,16,10,8,11,11,10,11,10,13,9,107,106,115,97,100
246,Tipico,10,9,11,8,13,7,9,11,8,13,99,88,98,100,118
247,Tipico,6,8,11,8,6,8,11,10,11,11,92,94,87,106,91
248,Tipico,14,11,11,11,9,11,11,13,11,12,111,106,117,106,103
249,Tipico,15,16,12,11,12,16,14,12,16,14,131,135,117,118,118
250,Tipico,12,9,11,11,3,12,11,10,12,7,98,106,106,106,71
251,Tipico,13,12,8,10,13,8,9,12,9,10,103,98,111,91,109
252,Tipico,9,7,4,7,11,7,9,5,15,3,81,98,81,79,82
253,Tipico,7,6,6,6,9,9,4,11,8,6,77,86,87,70,85
254,Tipico,11,12,10,9,13,10,13,6,10,11,104,104,91,109,112
255,Tipico,9,7,13,6,11,7,10,7,7,11,90,82,83,109,106
256,Tipico,8,9,12,8,10,11,9,10,9,11,98,98,91,103,103
257,Tipico,8,3,11,8,9,9,11,13,7,9,90,78,98,106,94
258,Tipico,13,7,6,6,11,10,7,11,12,11,95,98,100,79,106
259,Tipico,10,11,5,14,6,12,9,13,12,8,100,110,115,82,82
260,Tipico,13,14,13,11,15,14,14,13,13,9,123,122,115,121,112
261,Tipico,7,13,8,13,11,14,7,12,12,11,106,118,104,85,106
262,Tipico,8,6,8,8,3,4,9,7,7,9,75,74,85,91,77
263,Tipico,9,7,4,10,5,8,9,9,4,7,77,78,96,79,77
264,Tipico,6,14,13,8,13,11,11,7,16,9,106,122,81,112,106
265,Tipico,14,9,7,6,9,14,10,7,12,14,102,110,94,91,109
266,Tipico,11,9,12,7,16,12,8,11,10,12,106,102,98,100,123
267,Tipico,12,14,9,13,4,13,8,14,13,8,106,120,119,91,77
268,Tipico,1,8,10,4,3,6,9,6,5,1,62,78,59,97,53
269,Tipico,11,12,9,12,8,10,10,15,11,10,106,106,117,97,94
270,Tipico,10,12,10,11,8,11,11,9,9,9,100,104,100,103,91
271,Tipico,9,10,11,9,12,8,9,9,7,8,94,90,94,100,100
272,Tipico,7,7,4,8,8,9,7,8,6,6,76,84,85,73,82
273,Tipico,11,13,9,10,11,10,14,13,11,12,111,108,109,109,109
274,Tipico,10,16,14,11,11,13,12,10,7,14,115,112,102,118,115
275,Tipico,11,13,14,12,12,11,9,15,14,4,112,116,117,109,88
276,Tipico,11,9,10,11,10,11,11,10,11,6,100,102,104,103,88
277,Tipico,7,7,9,13,11,11,7,10,8,12,96,92,100,88,109
278,Tipico,10,8,10,8,11,9,10,11,12,7,97,98,98,100,94
279,Tipico,10,12,15,9,8,3,12,12,7,3,93,84,102,121,74
280,Tipico,9,13,12,5,8,12,11,8,13,9,100,116,83,109,91
281,Tipico,13,13,15,7,16,13,10,11,10,15,119,112,102,115,132
282,Tipico,15,13,11,11,11,14,12,14,15,13,123,124,121,109,112
283,Tipico,10,11,12,10,16,12,12,12,15,10,116,116,104,112,118
284,Tipico,15,12,10,17,10,14,17,15,16,11,130,124,136,121,103
285,Tipico,11,16,15,9,12,16,12,10,12,16,123,128,100,121,123
286,Tipico,8,8,13,11,13,7,13,10,5,15,102,80,98,118,123
287,Tipico,9,9,9,12,13,8,8,8,11,8,96,96,98,91,103
288,Tipico,12,12,10,11,8,13,10,12,15,10,110,120,111,100,94
289,Tipico,7,14,10,12,9,17,10,12,14,7,110,129,102,100,88
290,Tipico,13,11,10,13,9,7,7,10,9,8,98,94,113,91,91
291,Tipico,10,14,14,9,10,14,12,13,12,9,114,120,104,118,97
292,Tipico,10,12,15,15,10,12,14,11,11,12,118,110,113,127,106
293,Tipico,16,9,11,4,13,9,18,11,5,12,106,86,102,127,115
294,Tipico,7,10,12,9,12,14,6,3,14,15,102,116,76,94,120
295,Tipico,11,8,5,9,9,8,9,8,6,10,86,84,96,82,97
296,Tipico,9,7,10,7,9,4,17,8,8,8,89,78,87,121,91
297,Tipico,8,9,9,9,10,7,11,7,5,9,87,82,87,100,97
298,Tipico,8,8,2,10,11,7,7,5,8,10,81,86,85,67,103
299,Tipico,10,13,6,9,8,12,10,11,15,11,104,120,100,88,97
300,Tipico,12,12,13,10,8,14,13,10,18,10,116,128,104,118,94
301,Tipico,14,14,9,11,11,12,10,10,11,11,110,114,111,97,106
302,Tipico,12,11,3,10,14,13,8,7,13,10,101,114,98,73,112
303,Tipico,16,7,11,11,11,11,14,13,9,15,115,94,121,115,118
304,Tipico,12,11,9,8,11,10,3,13,11,9,98,104,106,76,100
305,Tipico,10,9,15,9,13,9,12,11,13,7,106,102,100,121,100
306,Tipico,13,14,7,13,11,8,7,9,13,8,102,110,111,82,97
307,Tipico,9,11,12,14,12,13,10,12,14,14,117,116,111,106,118
308,Tipico,16,10,14,12,10,11,9,13,15,10,116,112,124,109,100
309,Tipico,10,10,10,11,6,8,7,9,11,6,90,98,100,91,77
310,Tipico,6,5,4,5,10,7,7,6,8,10,74,80,72,73,100
311,Tipico,10,11,5,12,11,10,6,12,13,11,101,108,109,73,106
312,Tipico,9,12,9,6,7,10,10,9,12,13,98,108,87,97,100
313,Tipico,12,8,9,8,9,10,5,10,8,5,87,92,100,82,82
314,Tipico,5,6,12,8,8,6,10,5,6,9,80,76,74,106,91
315,Tipico,9,5,8,9,9,11,8,11,10,8,90,92,98,88,91
316,Tipico,5,6,9,7,14,5,11,9,6,7,83,74,81,100,103
317,Tipico,14,14,14,15,11,13,11,10,12,8,118,118,119,115,97
318,Tipico,10,14,13,12,7,9,12,17,14,7,112,114,119,115,82
319,Tipico,14,11,13,11,11,12,8,12,11,9,110,108,115,103,100
320,Tipico,8,8,8,10,13,8,14,7,8,10,95,88,89,106,109
321,Tipico,13,10,13,14,12,11,13,12,9,11,115,100,119,118,109
322,Tipico,8,11,9,9,5,7,12,9,10,6,89,96,91,103,74
323,Tipico,15,13,16,12,10,13,10,9,9,7,111,110,113,118,91
324,Tipico,10,12,10,7,9,12,7,10,12,5,95,112,94,91,82
325,Tipico,12,11,10,9,11,12,8,9,14,10,105,114,100,94,103
326,Tipico,12,12,9,12,8,9,11,14,12,11,108,106,117,100,97
327,Tipico,17,13,15,15,8,14,12,13,9,10,121,112,132,121,94
328,Tipico,9,15,14,15,8,15,13,12,14,14,123,128,113,121,106
329,Tipico,10,11,11,13,14,10,13,16,10,9,114,102,119,112,109
330,Tipico,9,7,12,8,9,7,10,8,6,9,88,80,89,106,94
331,Tipico,13,12,9,12,5,9,8,8,8,12,97,98,106,91,91
332,Tipico,11,10,12,14,5,8,12,8,4,1,88,84,106,112,59
333,Tipico,9,4,9,1,10,5,3,2,4,5,61,67,61,76,85
334,Tipico,10,8,9,10,11,8,9,9,7,10,93,86,98,94,103
335,Tipico,9,8,12,7,8,8,10,11,11,5,91,94,94,106,80
336,Tipico,7,5,12,10,6,7,10,10,9,3,83,82,94,106,68
337,Tipico,10,10,11,12,4,7,9,8,11,10,94,96,100,100,82
338,Tipico,12,7,15,8,11,4,12,11,3,12,96,69,102,121,109
339,Tipico,11,10,11,9,8,7,12,6,8,9,93,90,91,109,91
340,Tipico,14,14,12,13,12,13,10,17,15,7,122,124,130,106,97
341,Tipico,10,9,13,11,9,15,15,12,14,10,115,116,106,124,97
342,Tipico,6,8,5,3,8,9,8,7,6,8,74,86,70,79,88
343,Tipico,10,10,12,14,11,10,10,13,11,12,110,102,115,106,109
344,Tipico,7,9,9,5,4,9,7,10,10,6,81,96,83,88,71
345,Tipico,9,12,10,7,12,10,8,12,8,12,100,100,96,94,112
346,Tipico,9,9,10,10,8,13,12,10,12,10,102,108,98,106,94
347,Tipico,16,10,13,11,15,12,11,13,9,14,119,102,121,112,126
348,Tipico,11,10,12,8,7,10,11,13,9,3,95,98,104,109,71
349,Tipico,12,11,9,13,17,11,12,13,12,13,119,108,117,103,129
350,Tipico,6,5,10,7,13,9,9,7,9,9,87,86,78,97,106
351,Tipico,12,10,14,9,11,11,12,8,12,9,106,106,98,118,100
352,Tipico,14,12,16,14,14,10,14,11,13,16,127,110,119,130,129
353,Tipico,14,10,7,7,7,8,9,10,6,8,89,88,102,88,85
354,Tipico,10,15,11,14,10,12,9,11,13,12,114,120,111,100,106
355,Tipico,13,8,8,10,13,11,9,10,12,8,102,102,106,91,103
356,Tipico,8,5,6,12,2,6,7,5,4,4,67,70,89,79,59
357,Tipico,9,12,6,15,10,11,9,9,12,12,104,110,106,85,106
358,Tipico,9,7,10,9,5,8,5,7,7,3,76,84,89,85,65
359,Tipico,11,9,9,8,12,9,10,9,6,10,94,88,96,97,106
360,Tipico,9,5,9,3,10,4,7,7,7,7,74,72,76,88,91
361,Tipico,8,9,9,9,16,10,10,12,12,13,106,102,98,97,126
362,Tipico,9,2,8,7,10,9,6,6,5,11,78,72,83,82,103
363,Tipico,10,10,11,13,14,12,14,5,14,11,111,112,96,115,115
364,Tipico,11,11,7,14,11,12,7,10,8,12,102,102,111,82,109
365,Tipico,14,8,11,12,13,12,16,11,14,13,119,108,115,121,118
366,Tipico,14,9,8,15,10,14,10,12,12,12,113,110,124,94,106
367,Tipico,6,11,6,4,12,7,15,6,9,9,88,94,70,103,103
368,Tipico,1,7,7,4,6,8,10,5,10,7,72,90,57,91,80
369,Tipico,12,10,10,12,6,15,13,10,13,9,108,116,109,109,85
370,Tipico,10,8,11,7,9,9,8,9,8,13,94,90,91,97,106
371,Tipico,11,11,13,12,8,13,12,9,10,8,106,108,104,115,88
372,Tipico,10,9,9,8,13,11,12,11,12,10,104,104,98,103,109
